Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Duván Zapata,co COL,33,1991,FW,Torino,it Serie A,7,7,587,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Torino,,it Serie A,
Dušan Vlahović,rs SRB,24,2000,FW,Juventus,it Serie A,29,21,1784,10,4,14,94.54329774614472,86.98102016607355,93.44602609727166,Juventus,,it Serie A,
Dwight McNeil,eng ENG,24,1999,"MF,FW",Everton,eng Premier League,21,15,1371,4,6,10,78.97390272835112,94.09845788849347,87.18861209964413,Everton,,eng Premier League,
Désiré Doué,fr FRA,19,2005,"FW,MF",Paris S-G,fr Ligue 1,31,18,1730,6,6,12,86.71411625148279,94.09845788849347,90.74733096085409,Paris S-G,,fr Ligue 1,
Eberechi Eze,eng ENG,26,1998,"MF,FW",Crystal Palace,eng Premier League,34,31,2588,8,8,16,91.19217081850533,97.68683274021352,95.72953736654804,Crystal Palace,,eng Premier League,
Eddie Nketiah,eng ENG,25,1999,"FW,MF",Crystal Palace,eng Premier League,29,9,1034,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Crystal Palace,,eng Premier League,
Edimilson Fernandes,ch SUI,28,1996,"MF,DF",Brest,fr Ligue 1,19,12,1105,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Brest,,fr Ligue 1,
Edmond-Paris Maghoma,eng ENG,23,2001,"MF,FW",Brentford,eng Premier League,8,0,119,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Brentford,,eng Premier League,
Edoardo Bove,it ITA,22,2002,"MF,FW",Fiorentina,it Serie A,12,11,851,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Fiorentina,,it Serie A,
Edon Zhegrova,xk KVX,25,1999,"FW,MF",Lille,fr Ligue 1,12,12,978,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Lille,,fr Ligue 1,
Edson Álvarez,mx MEX,26,1997,MF,West Ham,eng Premier League,28,20,1772,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,West Ham,,eng Premier League,
Edu Expósito,es ESP,27,1996,MF,Espanyol,es La Liga,19,12,1045,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Espanyol,,es La Liga,
Eduardo Camavinga,fr FRA,21,2002,"MF,DF",Real Madrid,es La Liga,19,11,1102,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Real Madrid,,es La Liga,
El Bilal Touré,ml MLI,22,2001,"FW,MF",Stuttgart,de Bundesliga,12,3,356,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Stuttgart,,de Bundesliga,
Eldor Shomurodov,uz UZB,29,1995,"FW,MF",Roma,it Serie A,27,11,1097,4,4,8,78.97390272835112,86.98102016607355,81.73190984578885,Roma,,it Serie A,
Elias Saad,tn TUN,24,1999,"FW,MF",St. Pauli,de Bundesliga,18,10,900,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,St. Pauli,,de Bundesliga,
Eliesse Ben Seghir,ma MAR,19,2005,"MF,FW",Monaco,fr Ligue 1,33,19,1750,6,3,9,86.71411625148279,79.7153024911032,84.4306049822064,Monaco,,fr Ligue 1,
Elif Elmas,mk MKD,24,1999,"FW,MF, MF","Torino,RB Leipzig","it Serie A,de Bundesliga",15,12,1065,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,Torino,RB Leipzig,it Serie A,de Bundesliga
Eliot Matazo,be BEL,22,2002,MF,Monaco,fr Ligue 1,3,1,68,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Monaco,,fr Ligue 1,
Elisha Owusu,gh GHA,26,1997,MF,Auxerre,fr Ligue 1,28,28,2344,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Auxerre,,fr Ligue 1,
Elliot Anderson,eng ENG,21,2002,MF,Nott'ham Forest,eng Premier League,37,33,2728,2,6,8,62.30723606168446,94.09845788849347,81.73190984578885,Nott'ham Forest,,eng Premier League,
Ellyes Skhiri,tn TUN,29,1995,MF,Eint Frankfurt,de Bundesliga,30,26,2231,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Eint Frankfurt,,de Bundesliga,
Eloge Zabi,ci CIV,17,2006,"DF,MF",Reims,fr Ligue 1,2,0,18,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Reims,,fr Ligue 1,
Elvis Rexhbeçaj,xk KVX,26,1997,MF,Augsburg,de Bundesliga,27,22,1785,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Augsburg,,de Bundesliga,
Elye Wahi,fr FRA,21,2003,"FW, FW,MF","Marseille,Eint Frankfurt","fr Ligue 1,de Bundesliga",21,8,770,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Marseille,Eint Frankfurt,fr Ligue 1,de Bundesliga
Elysée Logbo,fr FRA,20,2004,FW,Le Havre,fr Ligue 1,1,0,27,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Le Havre,,fr Ligue 1,
Emanuel Emegha,nl NED,21,2003,FW,Strasbourg,fr Ligue 1,27,27,2293,14,3,17,97.83511269276394,79.7153024911032,96.53024911032028,Strasbourg,,fr Ligue 1,
Emi Buendía,ar ARG,27,1996,"MF, MF,FW","Aston Villa,Leverkusen","eng Premier League,de Bundesliga",23,3,355,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Aston Villa,Leverkusen,eng Premier League,de Bundesliga
Emil Bohinen,no NOR,25,1999,MF,Genoa,it Serie A,3,1,166,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Genoa,,it Serie A,
Emile Smith Rowe,eng ENG,24,2000,MF,Fulham,eng Premier League,34,25,2043,6,3,9,86.71411625148279,79.7153024911032,84.4306049822064,Fulham,,eng Premier League,
Emmanuel Ekong,se SWE,22,2002,"MF,FW",Empoli,it Serie A,15,0,186,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Empoli,,it Serie A,
Emmanuel Gyasi,gh GHA,30,1994,"DF,FW",Empoli,it Serie A,37,37,3217,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Empoli,,it Serie A,
Emmanuel Sabbi,us USA,26,1997,"FW,MF",Le Havre,fr Ligue 1,15,7,653,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Le Havre,,fr Ligue 1,
Emre Can,de GER,30,1994,"DF,MF",Dortmund,de Bundesliga,31,23,2105,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Dortmund,,de Bundesliga,
Endika Buján,es ESP,21,2003,FW,Athletic Club,es La Liga,1,0,7,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Athletic Club,,es La Liga,
Endrick,br BRA,18,2006,FW,Real Madrid,es La Liga,22,3,363,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Real Madrid,,es La Liga,
Enes Ünal,tr TUR,27,1997,"FW,MF",Bournemouth,eng Premier League,17,2,345,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Bournemouth,,eng Premier League,
Enric Franquesa,es ESP,27,1997,"DF,FW",Leganés,es La Liga,12,7,616,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Leganés,,es La Liga,
Enzo Barrenechea,ar ARG,23,2001,MF,Valencia,es La Liga,30,26,2191,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Valencia,,es La Liga,
Enzo Caumont,fr FRA,20,2004,MF,Angers,fr Ligue 1,2,0,34,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Angers,,fr Ligue 1,
Enzo Fernández,ar ARG,23,2001,MF,Chelsea,eng Premier League,36,32,2947,6,7,13,86.71411625148279,96.17437722419929,92.05219454329774,Chelsea,,eng Premier League,
Enzo Le Fée,fr FRA,24,2000,MF,Roma,it Serie A,6,4,318,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Roma,,it Serie A,
Enzo Loiodice,fr FRA,23,2000,MF,Las Palmas,es La Liga,17,7,684,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Las Palmas,,es La Liga,
Enzo Millot,fr FRA,22,2002,"MF,FW",Stuttgart,de Bundesliga,29,22,1843,6,5,11,86.71411625148279,91.48873072360617,89.1459074733096,Stuttgart,,de Bundesliga,
Enzo Sternal,fr FRA,17,2007,"FW,MF",Marseille,fr Ligue 1,2,0,24,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Marseille,,fr Ligue 1,
Eray Cömert,ch SUI,26,1998,"DF,MF",Valladolid,es La Liga,25,21,1779,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Valladolid,,es La Liga,
Eren Dinkçi,de GER,22,2001,"MF,FW",Freiburg,de Bundesliga,23,13,1196,0,3,3,19.572953736654803,79.7153024911032,57.147093712930015,Freiburg,,de Bundesliga,
Erencan Yardimci,tr TUR,22,2002,"FW,MF",Hoffenheim,de Bundesliga,8,3,313,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Hoffenheim,,de Bundesliga,
Eric García,es ESP,23,2001,"DF,MF",Barcelona,es La Liga,29,14,1566,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Barcelona,,es La Liga,
Eric Smith,se SWE,27,1997,"DF,MF",St. Pauli,de Bundesliga,32,32,2827,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,St. Pauli,,de Bundesliga,
Eric da Silva Moreira,de GER,18,2006,"MF,DF",Nott'ham Forest,eng Premier League,2,0,30,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Nott'ham Forest,,eng Premier League,
Erik Ahlstrand,se SWE,22,2001,"FW,MF",St. Pauli,de Bundesliga,5,0,43,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,St. Pauli,,de Bundesliga,
Erling Haaland,no NOR,24,2000,FW,Manchester City,eng Premier League,31,31,2736,22,3,25,99.61447212336893,79.7153024911032,99.22894424673784,Manchester City,,eng Premier League,
Ermedin Demirović,ba BIH,26,1998,FW,Stuttgart,de Bundesliga,34,20,1855,15,1,16,98.2502965599051,53.084223013048636,95.72953736654804,Stuttgart,,de Bundesliga,
Ernest Nuamah,gh GHA,20,2003,"FW,MF",Lyon,fr Ligue 1,23,13,1052,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Lyon,,fr Ligue 1,
