Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Kacper Urbanski,pl POL,19,2004,MF,"Bologna,Monza","it Serie A,it Serie A",15,7,747,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Bologna,Monza,it Serie A,it Serie A
Kai Havertz,de GER,25,1999,"FW,MF",Arsenal,eng Premier League,23,21,1875,9,3,12,92.88256227758008,79.7153024911032,90.74733096085409,Arsenal,,eng Premier League,
Kaishu Sano,jp JPN,23,2000,MF,Mainz 05,de Bundesliga,34,34,3043,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Mainz 05,,de Bundesliga,
Kalvin Phillips,eng ENG,28,1995,MF,Ipswich Town,eng Premier League,19,14,1237,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Ipswich Town,,eng Premier League,
Kamaldeen Sulemana,gh GHA,22,2002,"FW,MF",Southampton,eng Premier League,26,17,1402,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Southampton,,eng Premier League,
Kamory Doumbia,ml MLI,21,2003,"MF,FW",Brest,fr Ligue 1,30,13,1322,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Brest,,fr Ligue 1,
Kandet Diawara,gn GUI,24,2000,FW,Le Havre,fr Ligue 1,1,0,4,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Le Havre,,fr Ligue 1,
Kaoru Mitoma,jp JPN,27,1997,"FW,MF",Brighton,eng Premier League,36,28,2603,10,4,14,94.54329774614472,86.98102016607355,93.44602609727166,Brighton,,eng Premier League,
Karim Adeyemi,de GER,22,2002,"FW,MF",Dortmund,de Bundesliga,25,17,1433,7,6,13,89.35349940688019,94.09845788849347,92.05219454329774,Dortmund,,de Bundesliga,
Karim Onisiwo,at AUT,32,1992,"MF,FW",Mainz 05,de Bundesliga,6,1,110,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Mainz 05,,de Bundesliga,
Karl Etta,cm CMR,20,2003,"MF,FW",Villarreal,es La Liga,4,0,37,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Villarreal,,es La Liga,
Karol Fila,pl POL,26,1998,MF,Strasbourg,fr Ligue 1,1,0,5,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Strasbourg,,fr Ligue 1,
Karol Linetty,pl POL,29,1995,MF,Torino,it Serie A,28,18,1540,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Torino,,it Serie A,
Kasey McAteer,ie IRL,22,2001,FW,Leicester City,eng Premier League,18,9,852,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Leicester City,,eng Premier League,
Kassoum Ouattara,fr FRA,19,2004,"DF,FW",Monaco,fr Ligue 1,12,5,391,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Monaco,,fr Ligue 1,
Kazeem Olaigbe,be BEL,21,2003,"MF,FW",Rennes,fr Ligue 1,10,3,299,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Rennes,,fr Ligue 1,
Keane Lewis-Potter,eng ENG,23,2001,"DF,FW",Brentford,eng Premier League,38,36,3093,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Brentford,,eng Premier League,
Keinan Davis,eng ENG,26,1998,FW,Udinese,it Serie A,23,10,1066,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Udinese,,it Serie A,
Keita Baldé,sn SEN,29,1995,FW,Monza,it Serie A,11,8,638,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Monza,,it Serie A,
Keito Nakamura,jp JPN,24,2000,"FW,MF",Reims,fr Ligue 1,32,31,2649,11,2,13,95.93712930011863,69.42467378410439,92.05219454329774,Reims,,fr Ligue 1,
Keke Maximilian Topp,de GER,20,2004,"FW,MF",Werder Bremen,de Bundesliga,19,1,252,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Werder Bremen,,de Bundesliga,
Kelechi Iheanacho,ng NGA,27,1996,FW,Sevilla,es La Liga,9,5,400,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Sevilla,,es La Liga,
Kenan Yıldız,tr TUR,19,2005,"FW,MF",Juventus,it Serie A,35,28,2402,7,4,11,89.35349940688019,86.98102016607355,89.1459074733096,Juventus,,it Serie A,
Kenedy,br BRA,28,1996,"MF,FW",Valladolid,es La Liga,2,0,9,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Valladolid,,es La Liga,
Kevin Behrens,de GER,33,1991,FW,Wolfsburg,de Bundesliga,18,0,170,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Wolfsburg,,de Bundesliga,
Kevin De Bruyne,be BEL,33,1991,"MF,FW",Manchester City,eng Premier League,28,19,1702,4,7,11,78.97390272835112,96.17437722419929,89.1459074733096,Manchester City,,eng Premier League,
Kevin Kampl,si SVN,33,1990,MF,RB Leipzig,de Bundesliga,26,18,1593,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,RB Leipzig,,de Bundesliga,
Kevin Martins,it ITA,19,2005,"MF,DF",Monza,it Serie A,9,1,183,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Monza,,it Serie A,
Kevin Schade,de GER,22,2001,FW,Brentford,eng Premier League,38,26,2293,11,2,13,95.93712930011863,69.42467378410439,92.05219454329774,Brentford,,eng Premier League,
Kevin Stöger,at AUT,30,1993,MF,Gladbach,de Bundesliga,31,16,1551,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,Gladbach,,de Bundesliga,
Kevin Volland,de GER,32,1992,"FW,MF",Union Berlin,de Bundesliga,4,0,61,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Union Berlin,,de Bundesliga,
Kevin Zeroli,it ITA,19,2005,MF,"Monza,Milan","it Serie A,it Serie A",9,4,407,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Monza,Milan,it Serie A,it Serie A
Keyliane Abdallah,fr FRA,18,2006,FW,Marseille,fr Ligue 1,1,0,3,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Marseille,,fr Ligue 1,
Khalil Fayad,fr FRA,20,2004,"MF,FW",Montpellier,fr Ligue 1,20,10,1028,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Montpellier,,fr Ligue 1,
Khvicha Kvaratskhelia,ge GEO,23,2001,"FW, FW,MF","Napoli,Paris S-G","it Serie A,fr Ligue 1",31,26,2094,9,6,15,92.88256227758008,94.09845788849347,94.66192170818505,Napoli,Paris S-G,it Serie A,fr Ligue 1
Khéphren Thuram,fr FRA,23,2001,MF,Juventus,it Serie A,35,26,2326,4,5,9,78.97390272835112,91.48873072360617,84.4306049822064,Juventus,,it Serie A,
Kieran Tierney,sct SCO,27,1997,"DF,FW",Arsenal,eng Premier League,13,2,259,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Arsenal,,eng Premier League,
Kiernan Dewsbury-Hall,eng ENG,25,1998,"MF,FW",Chelsea,eng Premier League,13,2,264,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Chelsea,,eng Premier League,
Kike Barja,es ESP,27,1997,"FW,MF",Osasuna,es La Liga,15,3,315,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Osasuna,,es La Liga,
Kike Pérez,es ESP,27,1997,MF,"Venezia,Valladolid","it Serie A,es La Liga",35,27,2305,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Venezia,Valladolid,it Serie A,es La Liga
Kiké,es ESP,34,1989,FW,Alavés,es La Liga,35,29,2542,13,0,13,97.44958481613286,21.5005931198102,92.05219454329774,Alavés,,es La Liga,
Kim Minsu,kr KOR,18,2006,"MF,FW",Girona,es La Liga,3,0,22,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Girona,,es La Liga,
Kingsley Coman,fr FRA,28,1996,FW,Bayern Munich,de Bundesliga,28,14,1282,5,4,9,83.27402135231317,86.98102016607355,84.4306049822064,Bayern Munich,,de Bundesliga,
Kingstone Mutandwa,zm ZAM,21,2003,"FW,MF",Cagliari,it Serie A,6,0,127,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Cagliari,,it Serie A,
Kirian Rodríguez,es ESP,28,1996,MF,Las Palmas,es La Liga,21,21,1758,0,3,3,19.572953736654803,79.7153024911032,57.147093712930015,Las Palmas,,es La Liga,
Kjell-Arik Wätjen,de GER,18,2006,MF,Dortmund,de Bundesliga,2,0,16,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Dortmund,,de Bundesliga,
Kobbie Mainoo,eng ENG,19,2005,MF,Manchester Utd,eng Premier League,25,19,1651,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Manchester Utd,,eng Premier League,
Koji Miyoshi,jp JPN,27,1997,"FW,MF",Bochum,de Bundesliga,15,6,464,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Bochum,,de Bundesliga,
Koka,eg EGY,31,1993,FW,Le Havre,fr Ligue 1,16,10,851,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Le Havre,,fr Ligue 1,
Koke,es ESP,32,1992,MF,Atlético Madrid,es La Liga,32,20,1926,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Atlético Madrid,,es La Liga,
Konan N'dri,ci CIV,23,2000,"FW,MF",Lecce,it Serie A,11,2,306,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lecce,,it Serie A,
Kristijan Jakić,hr CRO,27,1997,MF,Augsburg,de Bundesliga,31,27,2306,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Augsburg,,de Bundesliga,
Kristjan Asllani,al ALB,22,2002,MF,Inter,it Serie A,22,10,988,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Inter,,it Serie A,
Krépin Diatta,sn SEN,25,1999,"DF,FW",Monaco,fr Ligue 1,19,3,508,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Monaco,,fr Ligue 1,
Kylian Mbappé,fr FRA,25,1998,FW,Real Madrid,es La Liga,34,34,2907,31,3,34,100.0,79.7153024911032,99.88137603795967,Real Madrid,,es La Liga,
Kyllian Antonio,fr FRA,16,2008,"DF,MF",Lens,fr Ligue 1,3,2,139,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lens,,fr Ligue 1,
Kyogo Furuhashi,jp JPN,29,1995,FW,Rennes,fr Ligue 1,6,1,123,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Rennes,,fr Ligue 1,
Kévin Danois,fr FRA,20,2004,MF,Auxerre,fr Ligue 1,22,16,1460,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Auxerre,,fr Ligue 1,
Lamare Bogarde,nl NED,20,2004,"DF,MF",Aston Villa,eng Premier League,8,5,476,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Aston Villa,,eng Premier League,
Lameck Banda,zm ZAM,23,2001,"FW,MF",Lecce,it Serie A,15,6,610,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Lecce,,it Serie A,
Lamine Camara,sn SEN,20,2004,MF,Monaco,fr Ligue 1,29,25,2054,2,7,9,62.30723606168446,96.17437722419929,84.4306049822064,Monaco,,fr Ligue 1,
Lamine Fomba,fr FRA,26,1998,MF,Saint-Étienne,fr Ligue 1,7,3,217,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Saint-Étienne,,fr Ligue 1,
Lamine Yamal,es ESP,17,2007,FW,Barcelona,es La Liga,35,31,2856,9,13,22,92.88256227758008,99.88137603795967,98.54685646500593,Barcelona,,es La Liga,
Lanroy Machine,fr FRA,18,2005,FW,Angers,fr Ligue 1,2,0,8,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Angers,,fr Ligue 1,
Lars Ritzka,de GER,26,1998,"DF,MF",St. Pauli,de Bundesliga,21,11,922,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,St. Pauli,,de Bundesliga,
Lassana Coulibaly,ml MLI,28,1996,MF,Lecce,it Serie A,38,30,2667,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Lecce,,it Serie A,
Lassine Sinayoko,ml MLI,24,1999,"FW,MF",Auxerre,fr Ligue 1,34,25,2299,5,8,13,83.27402135231317,97.68683274021352,92.05219454329774,Auxerre,,fr Ligue 1,
Lasso Coulibaly,ci CIV,21,2002,"FW,MF",Auxerre,fr Ligue 1,3,0,45,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Auxerre,,fr Ligue 1,
Lautaro Martínez,ar ARG,26,1997,FW,Inter,it Serie A,31,31,2564,12,3,15,96.8564650059312,79.7153024911032,94.66192170818505,Inter,,it Serie A,
Lazar Samardzic,rs SRB,22,2002,MF,Atalanta,it Serie A,31,7,1169,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Atalanta,,it Serie A,
Leandro Antonetti,pr PUR,21,2003,FW,Sevilla,es La Liga,2,0,28,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Sevilla,,es La Liga,
Leandro Paredes,ar ARG,30,1994,MF,Roma,it Serie A,22,15,1373,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Roma,,it Serie A,
Leandro Trossard,be BEL,29,1994,FW,Arsenal,eng Premier League,38,28,2546,8,7,15,91.19217081850533,96.17437722419929,94.66192170818505,Arsenal,,eng Premier League,
Lee Jae-sung,kr KOR,31,1992,MF,Mainz 05,de Bundesliga,33,31,2650,7,6,13,89.35349940688019,94.09845788849347,92.05219454329774,Mainz 05,,de Bundesliga,
Lee Kang-in,kr KOR,23,2001,"FW,MF",Paris S-G,fr Ligue 1,30,19,1663,6,6,12,86.71411625148279,94.09845788849347,90.74733096085409,Paris S-G,,fr Ligue 1,
Lennard Maloney,us USA,24,1999,MF,"Heidenheim,Mainz 05","de Bundesliga,de Bundesliga",16,10,786,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Heidenheim,Mainz 05,de Bundesliga,de Bundesliga
Leon Bailey,jm JAM,26,1997,"FW,MF",Aston Villa,eng Premier League,24,14,1139,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Aston Villa,,eng Premier League,
Leon Goretzka,de GER,29,1995,"MF,DF",Bayern Munich,de Bundesliga,26,13,1325,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Bayern Munich,,de Bundesliga,
Leonardo Bittencourt,de GER,30,1993,MF,Werder Bremen,de Bundesliga,27,10,982,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Werder Bremen,,de Bundesliga,
Leonardo Pavoletti,it ITA,35,1988,"FW,MF",Cagliari,it Serie A,26,1,445,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Cagliari,,it Serie A,
Leonardo Spinazzola,it ITA,31,1993,"DF,FW",Napoli,it Serie A,27,17,1517,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Napoli,,it Serie A,
Leroy Sané,de GER,28,1996,FW,Bayern Munich,de Bundesliga,30,17,1637,11,5,16,95.93712930011863,91.48873072360617,95.72953736654804,Bayern Munich,,de Bundesliga,
Lesley Ugochukwu,fr FRA,20,2004,MF,Southampton,eng Premier League,26,18,1655,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Southampton,,eng Premier League,
Lewis Cook,eng ENG,27,1997,"MF,DF",Bournemouth,eng Premier League,36,32,2978,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Bournemouth,,eng Premier League,
Lewis Ferguson,sct SCO,24,1999,MF,Bologna,it Serie A,16,10,983,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Bologna,,it Serie A,
Lewis Holtby,de GER,33,1990,MF,Holstein Kiel,de Bundesliga,25,13,1238,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Holstein Kiel,,de Bundesliga,
Lewis Miley,eng ENG,18,2006,MF,Newcastle Utd,eng Premier League,14,1,313,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Newcastle Utd,,eng Premier League,
Lewis Orford,eng ENG,18,2006,MF,West Ham,eng Premier League,2,0,49,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,West Ham,,eng Premier League,
Liam Delap,eng ENG,21,2003,FW,Ipswich Town,eng Premier League,37,32,2593,12,2,14,96.8564650059312,69.42467378410439,93.44602609727166,Ipswich Town,,eng Premier League,
Liam Henderson,sct SCO,28,1996,MF,Empoli,it Serie A,36,27,2337,0,4,4,19.572953736654803,86.98102016607355,65.0355871886121,Empoli,,it Serie A,
Liberato Cacace,nz NZL,23,2000,"MF,DF",Empoli,it Serie A,33,24,2230,2,4,6,62.30723606168446,86.98102016607355,75.62277580071175,Empoli,,it Serie A,
Lilian Raolisoa,fr FRA,24,2000,"DF,FW",Angers,fr Ligue 1,29,14,1318,0,3,3,19.572953736654803,79.7153024911032,57.147093712930015,Angers,,fr Ligue 1,
Lior Kasa,il ISR,18,2005,"MF,FW",Genoa,it Serie A,8,2,230,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Genoa,,it Serie A,
Lois Diony,fr FRA,31,1992,FW,Angers,fr Ligue 1,1,0,21,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Angers,,fr Ligue 1,
Lorenz Assignon,tg TOG,24,2000,"DF,MF",Rennes,fr Ligue 1,32,27,2357,3,4,7,72.27164887307237,86.98102016607355,79.2111506524318,Rennes,,fr Ligue 1,
Lorenzo Anghelè,it ITA,19,2005,FW,Juventus,it Serie A,1,0,6,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Juventus,,it Serie A,
Lorenzo Colombo,it ITA,22,2002,"FW,MF",Empoli,it Serie A,37,26,2233,6,2,8,86.71411625148279,69.42467378410439,81.73190984578885,Empoli,,it Serie A,
Lorenzo Lucca,it ITA,23,2000,FW,Udinese,it Serie A,33,27,2353,12,1,13,96.8564650059312,53.084223013048636,92.05219454329774,Udinese,,it Serie A,
Lorenzo Pellegrini,it ITA,28,1996,MF,Roma,it Serie A,25,20,1626,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Roma,,it Serie A,
Lorenzo Venturino,it ITA,18,2006,"FW,MF",Genoa,it Serie A,6,1,167,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Genoa,,it Serie A,
Louis Leroux,fr FRA,18,2006,"MF,DF",Nantes,fr Ligue 1,16,8,816,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Nantes,,fr Ligue 1,
Louis Mouton,fr FRA,22,2002,MF,Saint-Étienne,fr Ligue 1,24,12,1045,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Saint-Étienne,,fr Ligue 1,
Loum Tchaouna,fr FRA,20,2003,"FW,MF",Lazio,it Serie A,24,6,660,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Lazio,,it Serie A,
Lovro Majer,hr CRO,26,1998,MF,Wolfsburg,de Bundesliga,9,3,304,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Wolfsburg,,de Bundesliga,
Loïc Nego,hu HUN,33,1991,"DF,FW",Le Havre,fr Ligue 1,31,28,2459,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Le Havre,,fr Ligue 1,
Loïs Openda,be BEL,24,2000,"FW,MF",RB Leipzig,de Bundesliga,33,28,2453,9,5,14,92.88256227758008,91.48873072360617,93.44602609727166,RB Leipzig,,de Bundesliga,
Luca Kerber,de GER,22,2002,"MF,DF",Heidenheim,de Bundesliga,23,7,783,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Heidenheim,,de Bundesliga,
Luca Mazzitelli,it ITA,28,1995,MF,Como,it Serie A,11,3,335,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Como,,it Serie A,
Luca de la Torre,us USA,26,1998,MF,Celta Vigo,es La Liga,1,0,4,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Celta Vigo,,es La Liga,
Lucas Beltrán,ar ARG,23,2001,"FW,MF",Fiorentina,it Serie A,33,21,1953,5,4,9,83.27402135231317,86.98102016607355,84.4306049822064,Fiorentina,,it Serie A,
Lucas Bergvall,se SWE,18,2006,MF,Tottenham,eng Premier League,27,11,1212,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Tottenham,,eng Premier League,
Lucas Da Cunha,fr FRA,23,2001,MF,Como,it Serie A,36,30,2613,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Como,,it Serie A,
Lucas Gourna-Douath,fr FRA,20,2003,MF,Roma,it Serie A,6,2,229,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Roma,,it Serie A,
Lucas Höler,de GER,30,1994,"FW,MF",Freiburg,de Bundesliga,31,21,1867,6,4,10,86.71411625148279,86.98102016607355,87.18861209964413,Freiburg,,de Bundesliga,
Lucas Michal,fr FRA,19,2005,"FW,MF",Monaco,fr Ligue 1,8,0,117,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Monaco,,fr Ligue 1,
Lucas Ocampos,ar ARG,30,1994,FW,Sevilla,es La Liga,2,2,175,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Sevilla,,es La Liga,
Lucas Paquetá,br BRA,26,1997,"MF,FW",West Ham,eng Premier League,33,27,2380,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,West Ham,,eng Premier League,
Lucas Stassin,be BEL,19,2004,FW,Saint-Étienne,fr Ligue 1,28,23,1887,12,4,16,96.8564650059312,86.98102016607355,95.72953736654804,Saint-Étienne,,fr Ligue 1,
Lucas Torró,es ESP,30,1994,MF,Osasuna,es La Liga,35,35,2957,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Osasuna,,es La Liga,
Lucas Tousart,fr FRA,27,1997,MF,Union Berlin,de Bundesliga,15,6,561,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Union Berlin,,de Bundesliga,
Lucien Agoume,fr FRA,22,2002,MF,Sevilla,es La Liga,35,24,2114,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Sevilla,,es La Liga,
Ludovic Ajorque,fr FRA,30,1994,FW,Brest,fr Ligue 1,31,29,2495,13,2,15,97.44958481613286,69.42467378410439,94.66192170818505,Brest,,fr Ligue 1,
Ludovic Blas,fr FRA,26,1997,"MF,FW",Rennes,fr Ligue 1,29,26,2293,6,8,14,86.71411625148279,97.68683274021352,93.44602609727166,Rennes,,fr Ligue 1,
Luis Díaz,co COL,27,1997,FW,Liverpool,eng Premier League,36,28,2399,13,5,18,97.44958481613286,91.48873072360617,97.0344009489917,Liverpool,,eng Premier League,
Luis Guilherme,br BRA,18,2006,"MF,FW",West Ham,eng Premier League,12,1,150,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,West Ham,,eng Premier League,
Luis Henrique,br BRA,22,2001,"DF,FW",Marseille,fr Ligue 1,33,29,2613,7,7,14,89.35349940688019,96.17437722419929,93.44602609727166,Marseille,,fr Ligue 1,
Luis Milla,es ESP,29,1994,MF,Getafe,es La Liga,33,32,2875,1,4,5,47.805456702253856,86.98102016607355,71.14472123368921,Getafe,,es La Liga,
Luis Rioja,es ESP,30,1993,"FW, MF,FW","Alavés,Valencia","es La Liga,es La Liga",37,33,2854,5,3,8,83.27402135231317,79.7153024911032,81.73190984578885,Alavés,Valencia,es La Liga,es La Liga
Luis Sinisterra,co COL,25,1999,"FW,MF",Bournemouth,eng Premier League,12,1,236,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Bournemouth,,eng Premier League,
Luka Jović,rs SRB,26,1997,"FW,MF",Milan,it Serie A,15,6,557,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Milan,,it Serie A,
Luka Modrić,hr CRO,38,1985,MF,Real Madrid,es La Liga,35,17,1827,2,6,8,62.30723606168446,94.09845788849347,81.73190984578885,Real Madrid,,es La Liga,
Luka Romero,ar ARG,19,2004,"FW,MF",Alavés,es La Liga,6,2,199,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Alavés,,es La Liga,
Luka Sučić,hr CRO,21,2002,MF,Real Sociedad,es La Liga,29,21,1792,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Real Sociedad,,es La Liga,
Luka Topalović,si SVN,18,2006,MF,Inter,it Serie A,1,0,11,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Inter,,it Serie A,
Lukas Daschner,de GER,25,1998,"MF,FW",Bochum,de Bundesliga,14,3,412,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Bochum,,de Bundesliga,
Lukas Nmecha,de GER,25,1998,"FW,MF",Wolfsburg,de Bundesliga,19,3,467,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Wolfsburg,,de Bundesliga,
László Bénes,sk SVK,26,1997,"MF,FW",Union Berlin,de Bundesliga,23,3,589,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Union Berlin,,de Bundesliga,
Léo Scienza,br BRA,25,1998,"FW,MF",Heidenheim,de Bundesliga,25,13,1153,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,Heidenheim,,de Bundesliga,
M'Bala Nzola,ao ANG,27,1996,FW,Lens,fr Ligue 1,21,16,1460,6,1,7,86.71411625148279,53.084223013048636,79.2111506524318,Lens,,fr Ligue 1,
Maat Daniel Caprini,it ITA,18,2006,FW,Fiorentina,it Serie A,2,0,8,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Fiorentina,,it Serie A,
Maghnes Akliouche,fr FRA,22,2002,"FW,MF",Monaco,fr Ligue 1,32,27,2406,5,10,15,83.27402135231317,99.22894424673784,94.66192170818505,Monaco,,fr Ligue 1,
Magnus Knudsen,no NOR,23,2001,MF,Holstein Kiel,de Bundesliga,31,22,1850,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Holstein Kiel,,de Bundesliga,
Magnus Kofod Andersen,dk DEN,25,1999,MF,Venezia,it Serie A,14,7,695,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Venezia,,it Serie A,
Mahamadou Diawara,fr FRA,19,2005,MF,"Le Havre,Lyon","fr Ligue 1,fr Ligue 1",17,6,598,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Le Havre,Lyon,fr Ligue 1,fr Ligue 1
Mahdi Camara,fr FRA,26,1998,"MF,FW",Brest,fr Ligue 1,34,31,2659,5,3,8,83.27402135231317,79.7153024911032,81.73190984578885,Brest,,fr Ligue 1,
Mahmoud Dahoud,de GER,28,1996,MF,Eint Frankfurt,de Bundesliga,9,3,364,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Eint Frankfurt,,de Bundesliga,
Malick Fofana,be BEL,19,2005,FW,Lyon,fr Ligue 1,29,16,1589,5,4,9,83.27402135231317,86.98102016607355,84.4306049822064,Lyon,,fr Ligue 1,
Mama Samba Baldé,gw GNB,28,1995,FW,"Lyon,Brest","fr Ligue 1,fr Ligue 1",29,12,1182,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Lyon,Brest,fr Ligue 1,fr Ligue 1
Mamadou Coulibaly,fr FRA,20,2004,MF,Monaco,fr Ligue 1,1,0,8,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Monaco,,fr Ligue 1,
Mamadou Diakhon,fr FRA,18,2005,"FW,MF",Reims,fr Ligue 1,28,5,858,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Reims,,fr Ligue 1,
Mamadou Sylla,sn SEN,30,1994,"FW,MF",Valladolid,es La Liga,29,17,1583,5,1,6,83.27402135231317,53.084223013048636,75.62277580071175,Valladolid,,es La Liga,
Mandela Keita,be BEL,22,2002,MF,Parma,it Serie A,30,24,1826,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Parma,,it Serie A,
